评论,分类
内容非常充分,1
还好吧，有用,1
课程对自己就业很需要,1
"内容很丰富
",1
牛啊牛啊牛啊,1
内容全面 选择较多,1
感触挺深的,1
受益匪浅，讲的很好,1
讲的很生动具体,1
老师的指导对于即将毕业的我来说非常有帮助,1
课程非常的棒,1
非常有趣。,1
"内容真的好
",1
可以很棒的,1
真的非常好,1
我觉得很不错。,1
课程挺好的，挺实用的。,1
受到了启发,1
这个课程教会了我很多平时不了解的知识，让我更加了解电脑专业知识。,1
"挺好
有助于学习
good
非常好",1
好！很好！非常好！,1
我学习了很多关于计算机基础知识的内容，使我贫瘠的知识得到了充分的灌溉，感谢参与上课的每位老师，没有你们的帮助和认真负责，也就没有这么系统的专业知识让我们能够更加方便学习，老师们辛苦了，谢谢！,1
"没有太多时间看视频。。。
",1
好，很好，非常好,1
hhhhhh,1
基础入门比较适用,1
关于计算机的知识非常全面，很不错,1
"感觉很好，对我作用很大
",0
非常好，让我更多的了解到了计算机网络的知识，希望越做越好。,1
很好，让我收获很多,1
5555555,1
让我学到了很多我不知道的计算机网络知识 使我受益匪浅,1
特别十分好,1
了解了很多网上知识  不错不错,1
我觉得挺好的，能丰富计算机知识,1
内容详细，十分容易听懂！不难理解！,1
"懂了一些计算机的知识
",1
烦得很动态规划 ,1
dgfhjk;l' ,1
很不错，内容扎实，页面漂亮,1
很期待其他的课件公布！,1
非常好，内容讲绘声绘色。,1
很好很赞很喜欢,1
"不错，拓宽了知识面
",1
"收获不少哦
",1
好好好好好,1
学习到了机器人的基本知识,1
特别感谢老师的讲授，能让自己 对智能机器人有了一个全方位的了解。,1
ros初学者福音,1
很有趣的一门课！,1
讲的通俗易懂，简单易学，系统性较强。,1
这个非常棒，非常详尽，可操作性强，机器人从入门开始都可以。,1
适合我这只菜鸟,1
很好，非常适合初学者,1
因为需要学习ROS然后平常有用MOOC的习惯所以机缘巧合之下选择了这门课，我同时也跟着ROS Wiki上在学基本操作之类的，所以这门课给我的帮助很大。以后的项目也是跟ROS有关的，现在这里入个门，老师讲的也很清楚。good,1
内容没啥新意，太一般,0
老师讲解的很清楚，而且都是新型技术,1
"很好，继续学习
、",1
"很棒
很方便
学以致用",1
哇！超出预期了,1
让我对人工智能有了更新更全面的认识 受益匪浅！,1
理论与案例相结合，严谨，生动，案例中问题描述较详细，抓住了问题的要点，各理论问题之间的联系也串联了起来，直击学科研究的前沿问题，与主题十分切合。,1
对人工智能有一个系统的学习,1
林老师讲的非常好，收获不少。,1
"随时学习随地学习 这种学习方式很不错
",1
什么时候能发电子证书啊,1
内容不错，但是个人感觉老师讲课有点卡的感觉,1
概念类能理解，但是一些计算就完全不懂了，作业里面涉及到了就完全不会,1
一个文科生弱弱表示听不懂,1
非常不错 很实用,1
感觉学到了很多知识。,1
"感觉挺好的
",1
非常的可以,1
"非常非常好
",1
简单粗暴，大学生毕业生的一堂好课程,1
"受益匪浅，当之无愧的年轻人就业第一课
",1
老师讲的很有效,1
不错，很有启发,1
很不错的体验，老师授课的方式也比较有趣,1
真的非常好,1
作为学校课堂内容的补充，可以了解到更多有关面试方面的信息,1
"非常好
特别好
",1
66666666666,1
教会了很多东西  ,1
教会了很多东西  ,1
很赞很赞！,1
"是我预想中的学习
",1
老师风格挺幽默的,1
"内容很详细
",1
课程内容紧密贴近学生求职实际，讲授生动活泼，有很强的实践指导意义,1
还好吧，趣味性有待提高,0
学会了很多面试技巧,1
太棒了！！！,1
   德玛西亚之力,1
赞，太赞了。6666,1
非常的牛逼,1
学到了好多，真的很好,1
很充实你的内容，让我更加的了解计算机该如何使用，学习快乐,1
让我知道了很多计算机网络知识！,1
对计算机网络有了更深的了解，也可以更加熟悉的使用计算机,1
很喜欢这个网站,1
课程贴近现实应用，通过学习，理论和解决问题的能力得到提升。,1
十分的有用,1
挺好，很有用,1
哈哈哈哈哈哈哈,1
浅显易懂，值得学习,1
视频短小精悍,1
让我知道了许多平时不知道的知识,1
特别帮帮的,1
还不错吧 。,1
学习了这么久让我知道了很多不知道的知识,1
对我学习计算机有帮助,1
还能说什么呢，快来学吧！,1
好好好好好好,1
很详细。 对初学者来说特别易学，必须赞一下,1
very good,1
感觉效果不错,1
课程内容丰富,1
6666666666666,1
厉害了 有点难,1
很棒，很好，很详细,1
很不错，非常感谢,1
很不错啊，多多学习,1
老师讲课很细致,1
very good,1
shou yi fei qian,1
很不错的课程,1
我非常喜欢,1
"很好 通俗易懂生动有趣
",1
希望实践内容可以很好的锻炼使用ROS的基础操作,1
非常棒的课程，我做嵌入式，知道ros一段时间了，很想学习一下，但是一直没时间，着了一些资料，粗略了解了一下，就没深入，感谢这门课程，让我有机会这样浅显的入这个门。非常感谢，老师讲的很好，讲义也很棒,1
跟着老师动手操作，感觉很清晰,1
从中收获了许多知识,1
"好好好好好好好好好
",1
很好非常好！！,1
"真好。。。。。、

",1
让我更深的了解了人工智能的现在与未来,1
老师的课堂风格很棒,1
哇哇哇  哇哇哇,1
"很棒
很有帮助
",1
资源很丰富,1
哈哈哈哈哈哈,1
了解了关于人工智能方面的知识。,1
好好好好！,1
"挺好的
as啊啊啊",1
对我的帮助挺大的,1
我觉得很不错,1
可以收获许多有用的知识。,1
"好
好好好好好",1
还不错很好,1
非常不错！,1
能学到很多东西 不错哟,1
可以可以可以,1
挺不错的体验,1
个人觉得这个课程很实用。,1
愿所有人能有理想的工作,1
听了收获颇多，谢谢李明老师,1
感觉非常棒,1
成绩更新慢,0
"课堂幽默诙谐，讲的很好，对我们有很大的帮助。
",1
生动，结合实际。,1
棒棒哒！棒棒哒,1
很优秀的课程,1
非常喜欢 老师的课程分享，学习到很多想了解的知识 ,1
"学到了很多东西
",1
很专业，我很喜欢,1
"很全面，很细致
",1
内容非常不错。很有价值。,1
老师很厉害，认识到从面试到职场需要懂的人生道理，受益匪浅,1
我觉得很有用,1
讲解很细致，就算完全没有基础也能听得懂,1
还好还好还好,1
wdddd,1
"虽然是15年的老课了，但是知识贴近生活没有过时，也没有专业知识那么枯燥
",1
"真好，嘤嘤嘤
",1
好非常的好,1
课程里的内容非常详细,1
通过课程学习，基本了解的家庭网络的一些知识。准备组建家庭网络。,1
内容很好，学到很多基础知识,1
感觉挺好的,1
不错不错不错,1
让我认识了计算机的博大学问,1
感觉挺有帮助，提高了计算机技能 会一直学下去 测验有三次机会非常的人性化！,1
"垃圾
垃圾
垃圾
",0
内容有点难理解,1
深入浅出，易学易懂,1
能让人清楚的了解一些计算机的基本操作和一些基本的电脑问题及电脑设备。,1
"很好，使我学会了很多计算机网络基础知识
",1
"很好，很详细
",1
很好。。。,1
老师讲的系统，有条理！！！,1
好！！！！！！！！！！！！！,1
入门非常棒,1
很好！！！！！！！,1
非常好，都是实用技能，老师讲的很好,1
不错，但是国外网站好多进不去，所以提供下载操作系统得网站打不开，可能清华不受限制,1
思路更加的清晰了,1
我第一次接触这要的课程，老师讲得还好，大部分都听到懂，就是不知如何安装Ubuntu 16.04操作系统，万事开头难，我会努力的！,1
"在认真的学
",1
从小就比较喜欢机器人有关的东西，大学阴差阳错的进了计算机学院的网络工程专业，但我对机器人的兴趣依旧如旧，并自学了网易和吴恩达合作的AI课程，非常感谢网易提供这么好的平台,1
周至，感谢。,1
随着人工智能在各行各业的普及，机器人操作系统绝对是我们要掌握的知识，该课程满足了我的学习需要，谢谢你们。,1
very nice,1
henhaohenghao,1
很好的课程，非常值得学习！,1
期待已久，深入浅出，符合预期，值得拥有。,1
讲得挺好的,1
很棒，老师讲得很好,1
非常好非常好,1
好啊好啊好啊,1
很棒哦，多多出些这样的学习哦,1
很棒，特别棒,1
非常好，增强了自己的知识点,1
真的很好看起来很充实,1
很好很好很好,1
还不错，因为还是了解到很多不知道的知识,1
学到了很多,1
超出预期了,1
非常无敌好,1
课程很好，可以提高自己的知识,1
课程内容安排合理 听不错的,1
好好好好好,1
很好，非常好,1
知道了人工智能对人类帮助,1
可以可以可以,1
不错很好哦,1
真是十分不错,1
111111,1
12345,1
强啊，老师讲的非常好,1
从课程中学到很多，谢 谢老师。,1
老师讲的很到位,1
讲的很好，很实用的课程,1
上了几门课，很赞,1
"开头例子讲得很棒
",1
授课内容很棒，可以加上字幕就更好了。,1
学习了，收获很大。,1
很不错的一门课。,1
明哥很幽默 学到了很多,1
讲解的方式比较好，知识量比较丰富，重点突出，非常有实践性！,1
很受用，求职中会注意到一些细节。,1
学习课程种类多 学习方式方便  ,1
老师讲得好好啊,1
很全面，很贴近实际,1
幽默 实用,1
一直在困惑该从什么地方开始给学生们进行职业规划和就业指导，总觉得研三最后一年才开始太晚了，学生们都是医学生，课业压力很重，如果没有尽早的职业规划和就业指导，研三下学期开始搜索工作真的为时已晚。听了李明老师的课感觉茅塞顿开，非常落地务实，可以从研一研二开始给学生们灌输就业内容。感谢MOOC！,1
很有帮助。,1
"老师讲的东西很实际，一点儿也不假大空，受益非常多。
尤其是作为已经毕业求职很久的人来说，确实看到了自己在求职过程中出现的很多问题",1
好的，非常好。,1
、。。。。。。,1
找到了自己学习的乐园，希望学习资源越来越丰富，质量越来越高，更希望能有基础教育网课资源上线，让广大偏远地区的基础教育阶段的孩子也能享受到优质教育资源。,1
更了解计算机,1
使我拓展了更多的计算机知识,1
不好，非常不好，有些细节找不出!!!!!,1
不好，非常不好，有些细节找不出!!!!!,1
不好，非常不好，有些细节找不出!!!!!,1
好，很好，非常好,1
很好，内容丰富受益良多,1
对于生活中家庭网络使用的帮助很大,1
"乌拉拉拉拉
",1
非常不错，很实用,1
学会很多知识,1
学到很多知识,1
十分的 好,1
感觉非常的好,1
"讲的很好，收益了
",1
服务器安装不懂， 看了还是不懂。 系统性和逻辑性不够， 该要详细却没有详细。内容安排不怎么样。,0
很cool,1
非常适合业余爱好者,1
很基础，挺喜欢的,1
老师讲课很不错，挺有意思的,1
非常好的课程，对于ROS的课程网络上没有这么系统的讲过的。,1
网上ROS的课程很少，老师真的讲的很详细很好！拓展了视野！,1
课程很生动，由浅入深！,1
"初步了解了ros，希望能通过学习能有所收获
",1
"非常感兴趣,现在也在往这个方向努力,现在在学内核驱动,前段时间一直想学人工智能方面的东西,可一直没机会,难得碰到,会坚持到最后的.",1
PC端也可以下载视频就好了,1
很好学习，阿。,1
觉得不错。,1
这个课程太有趣了。,1
"终于找到一门好的课程了，老师讲得真不错
",1
在Mooc学习这么久选的最棒的一次课了，喜欢老师的声音和讲课方式,1
讲的非常详细，能从全局高度讲解，比自学了解的更全面。,1
很好很新！！,1
老师，坐等第二课,1
"相当好，适合入门
",1
好很好非常好,1
haibucu,1
很不错的平台，给我们学生提供了很好的学习环境与资源。,1
"挺好的这个
",1
"非常不错。
",1
不错，课程充实,1
感觉超棒的,1
"相当的棒啊
",1
不错哦。。。,1
不错不错哦,1
好好好好好,1
很好，很有帮助,1
zhengbucuo,1
很不错，很好的一门课  让我们更多的了解人工智能,1
深入浅出，收获颇丰,1
。。。。。。。,1
证书怎么申请啊,1
提纲挈领的介绍，常用的AI实际应用,1
非常不错，学到了有用的知识,1
"其实挺能了解AI在生活中应用的
",1
还没学完，但是感觉很棒,1
很好方法f,1
实用，很愉快的,1
老师讲课很幽默，很有料哦，哈哈,1
6666666,1
挺好的，受益匪浅。,1
开放、灵活、效率高,1
适合入职前学习,1
通过学习了解了很多知识,1
老师知识渊博、才华横溢、引经据典、联系实际、通俗易懂、深入浅出、风趣幽默、容易理解，受益匪浅！强烈推荐！,1
"慕课这一崭新的学习模式，在学习上给同学们带来了全新的体验。在学习过程中，不难发现，慕课确实有很多的优势：
　　<一>教学精简，内容丰富。
　　现在谈谈我们学生方面用得较多的两大块：课件、讨论区。在课件这一块，每一个教学视频都精简而深刻，一定程度上缓解学生的学习疲劳，并且还配套有相应的练习题，用以巩固知识。在讨论区，学生与老师之间，学生与学生之间可以进行交流，互相探讨，共同学习，共同进步。
　　<二>精简易懂，提高学习效率。
　　与传统的教学模式相比，慕课则是让我们在比较简短的时间内学到相同的知识，大大地提高了同学们的学习效率。
　　<三>方便学习，增加学习兴趣。
　　有了慕课，随时都是学习的好时候。只要有时间，同学们都可以随时在慕课上进行学习。如果在观看教学视频中有疑惑不明白之处，同学们还可以反复观看相关的视频，直至疑惑解除，完全掌握该学习内容。
　　这些优势，为同学们创造了很好的学习条件。对于爱学习，会学习的同学来说，这样的学习模式能够让他们更好地进行自我培训。但是慕课的自由性，对于部分同学来说，会助长他们的惰性，使得那些不够自主的同学，在学习进度上掉队了，这并不是一个好的现象。",1
对就业的相关信息有了新的了解,1
挺好的啊啊啊,1
内容饱满，有建设性意义！,1
李明老师幽默实用的课程讲座，使我受益匪浅，之前关于就业方面的信息量很少，几乎没有涉及到这部分，很多关于专业技能和职业选择更是一脸懵，通过21课时的学习，至少有了初步的认知，今后还要加深对这方面的学习。感谢李明老师。,1
"内容通俗易懂，接地气。
",1
收获很多实用技巧观点和方法,1
学到了很多。,1
老师讲得十分生动有趣,1
老师讲的很好，觉得自己需要提升的地方还有很多,1
很好，对我的学习很有帮助,1
还可以，行吧,1
对信息化时代的人非常有用,1
"嘻嘻嘻6666
",1
"有很大的进步，值得使用
",1
都会，老师的视频不用看,1
谢谢老师们的分享，真是太好了。我都下载下了，在假期里要好好学习。,0
tinghaode,1
很不错，从中学到了很多有用的知识,1
对自己有很大的帮助,1
太难了...,1
很好  不理解的可以多次观看,1
厉害233,1
很不错，我觉得很棒,1
666666,1
66666666666666666,1
这个作业很好,1
很棒  给我很大的帮助,1
说难不难，说简单也不简单，信息时代，每个人都需要学好计算机。,1
"很好
很棒 很厉害
",1
增长知识学了,1
这个是ROS系列课程的开山之作,1
老师讲得仔细易懂。,1
"老师讲课生动有趣 赞一个
",1
还好，可以拓展一下思路。增加见识,1
获益匪浅，值得学习,1
课程内容很好，自己还需要再充充电,1
讲的真好，实用,1
人工智能，很棒的课程,1
该课程为我提供了很好的学习资料，让我了解到人工智能产业的前沿应用,1
受益匪浅！,1
学到特别多的东西,1
课程内容充实，很喜欢,1
以前就认为人工智能很复杂，不过通过这次的学习过后，我发现。。人工智能比我想象的复杂的多得多的。不过确实收获了不少关于这方面的知识，很有帮助！,1
"还可以，继续加油
",1
有了很多认识。,1
风趣幽默，气氛活跃,1
非常好，幽默风趣,1
已成熟的例子介绍的很棒,1
       随着时代的递进，科技的发展，人工智能已经对社会产生了深刻且广泛的影响。人工智能在潜移默化地改变人们的社交习惯和沟通方式，已成为新媒体时代不可逆转的潮流。,1
课程内容丰富，老师讲解详细，由浅入深。,1
很好，很有意义,1
感觉收获特别大,1
入门特别好,1
感受前沿技术，引领自我素质,1
相当实用哈,1
老师从各个方面给我们分析，给予就业指导，很实用，谢谢老师。,1
明哥语言诙谐，让人受益匪浅！,1
李明老师讲解慢慢的干货，大三暑假找工作的我能够学以致用了，好知识！！,1
"很受用
！！",1
讲的很认真,1
在实际中很有效,1
受益匪浅！,1
学到了很多新颖的东西,1
好好学习，天天向上,1
说了很多职场真相，很受用。但是李明老师很多例子啊可能比较针对在公司工作，经常做一些项目的一些人群。像我是刚入门酒店行业的，所以感觉还是和公司上班的不一样。加班常有的事情。但是还是体会挺多的。希望以后还会有更优质的课程呦。,1
老师讲课很幽默！,1
对于入职的第一节课，老师说的非常到位，各环节讲的比较细致，值得拥有！,1
老师讲的内容非常实用，对于求职者，尤其是应届生求职者更有帮助！谢谢老师，也谢谢MOOC这个平台！,1
"老师言辞较为诙谐幽默，时而又尖锐、讽刺，一针见血，我很喜欢。
老师讲的内容十分有效，言语精炼简洁，但满满的宝藏，谢谢老师，让我们学习到了许多。
",1
很好，特别有益。,1
很受启发啊,1
很好，很棒的课程,1
很好的课程，老师讲的很好,1
机会是自己争取的,1
能让我更了解如何运用计算机,1
可以让我学习到很多有用的东西,1
挺好的!!!!,1
很好Dark中学习 斯巴拉西,1
先开始觉得很无聊，但后来发现很实用,1
太棒了，让我收获很多知识！,1
我本来是个电脑白痴，看了慕课的视频后，会了很多以前都不知道的小知识，很有用！,1
讲的太简单，还不够深入,1
"很好，让我更了解计算机了
",1
"很好让我收益很多

",1
使我对计算机认识的更深了,1
感觉还不错，也学习了很多关于计算机的知识。,1
棒！强烈推荐,1
很不错的，提升自己的知识,1
"提升知识。

",1
很棒！！！！,1
.....,1
很好非常好,1
非常好很好,1
介绍了大量的实际应用，很有参考价值。,1
很棒感觉学习到了一些业界前沿的技术和知识,1
要是有更多启发性延展内容就更好了,1
案例很好，如果能解决声音问题就很好。几个重量级的嘉宾也是让我大开眼界,1
"学到很多自己喜欢的知识
",1
很好。。。。。。,1
老师很认真,1
了解到了许多应用层面的东西，但是后面的课程我认为有些枯燥,1
课程好课程好,1
对人工智能在行业中的一些具体应用有了整体性的认识，比较清晰的了解到了人工智能现阶段发展的样子，收获很大，对自己帮助很大。,1
已经学完课程，很赞。,1
老师讲的很好,1
课程的内容很好，虽然有一些理论的东西不是很能懂，毕竟是新兴的技术。所以不管怎么说，都要好好学习。,1
想学习一些实际案例，再加一些简单的原理。,1
对当前的科技有了更深的理解。,1
该课程的所授内容都是是关于AI的应用，对于没有相关课程的同学也很适合！老师讲解也很仔细！,1
老师讲的很棒,1
课程非常好，平台也很好，特别是免费的！,1
初步了解人工智能，可以更深刻理解和学习人工智能的基础,1
技术可行，内容丰富，语言幽默，课程良心,1
更加系统，详细的了解了年轻人的就业情况,1
特别受启发，很感谢老师的讲解。,1
"看完了介绍篇，这是一个值得转发朋友圈的课程。没有满篇的理论指导，只有实际、可实施的接地气方法！
整个讲解思路清晰、案例详实、语言流畅，让你意犹未尽。
这是是求职前必读的一剂良药！强烈推荐！",1
职场必修课，满满的全是干货，非常实用。李明老师的发型不错。。。,1
明哥的课程非常适合在校大学生,1
为什么不早点让我看到，挺适合刚入职场的新人！,1
很棒 很棒 真正的就业指导课 ,1
幽默风趣，获益匪浅，希望能多出点类似的视频。,1
对于处于毕业季的我来说，获益匪浅，值得一看！！！,1
能正确的指导年轻人就业,1
学完以后，收获很大。,1
最近特别喜欢看，每天都看，很长见识，感谢有这么好的平台,1
老师们都是来自中国的顶尖大学，在各自的领域都是顶尖的强者。本课程覆盖的知识面比较全，有生命科学的传统学科，也有最近几年比较热门的一些学科，如生物信息学。作为一门通识类课程，是非常值得学习的。,1
我的天呐 朱玉贤老师哇 考研抱的老师的书学了好久终于见到老师真人啦 好激动(✪▽✪),1
看到有朱玉贤老师和张雁云老师就直接参加了。老师们讲解的都很认真，课程内容广泛而深入，我一个生物专业的学生都听的津津有味(～￣▽￣)～ ,1
众星云集，精品中的精品。,1
信息量很大！老师讲课特别好，思路清晰,1
工作了30年，在大学生物学免费课程中学到了许多有用知识，谢谢了。,1
学完再去学每门具体的课程。,1
多位老师讲课幽默风趣，深入浅出，受益匪浅，谢谢各位老师！,1
本课程真的精彩，朱玉贤教授，张雁云教授（其他老师的课还没有听到）都是顶级大牛，能做他们的学生真是幸运,1
第二次上这门课了，感觉很不错,1
棒！特别棒！,1
不错，可以学到东西,1
大学没学好，重温一下，受益良多,1
很好，讲的的很好,1
朱老师讲的非常好，感谢朱老师搭建平台！,1
通过该门课程的学习，我对生物学的概念有了一个总体的观点。非常好的一门课，谢谢老师。,1
"大学课本上看到的朱玉贤教授和丁明孝教授终于可以听到他们的课了，真的太激动。
记得之前有幸在一次讲座中见到过丁明孝教授，散发着智者的光环。
能听到两位老师的课太太太激动了",1
非常好 。。。。。,1
老师教得很好，都来自顶尖的大学，比较通俗，虽然我是工科生但了解一些生物学的知识也非常值得。,1
各位老师讲的都十分容易理解，推荐大家学这个课,1
让我学到很多知识,1
学了不少东西,1
好好好，真的好,1
还好，有学到很多东西,1
"good good
",1
很好，希望可以越来越好,1
讲师讲的非常好,1
henghao,1
课程很不错,1
很好，感觉学会了更多的知识弥补了更多的知识空白,0
很棒!!!!,1
好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1
我是一名不是很熟悉计算机的高中生，这些视频对我的帮助很大，学到了很多东西,1
很好啊！！！！,1
"知识很实用
",1
haihasoba,1
666666666,1
很棒很好很厉害！,1
"非常有利于学习
",1
非常好，浅显易懂,1
相对于一个介绍性质的课程来说，还是很不错的，不过老师的声音可以大一点啊,1
增加了对人工智能的认知，受益匪浅,1
"讲的挺不错
",1
刚听了几节课，觉得相比我以前的思维来说，现在思维更开阔了，全面许多,1
不错，对我很有启发,1
"非常好的课程

",1
内容充实有效，在互联网告诉发展，大数据的应用势在必行。,1
课程内容对于非理工科出生的文科生，还是很友好的。比较能够理解和接受。继续学习。,1
老师和蔼可亲，讲解细致入微。,1
了解到了 深度学习下的卷积神经网络以及人工智能最终形态增强学习。,1
此课程深入介绍了人工智能的历史轨迹和发展方向，对广阔知识面有很大帮助,1
授课内容易懂。,1
感觉学习的内容是我想要学习的内容,1
无与伦比的棒,1
收获很多，结合自己的专业知识，有启发！,1
课程内容可以,1
特别好，可惜学晚了,1
内容非常棒，从AI在产业中的应用视角反过来看为什么需要了解、学习、并应用AI。,1
very goog leasones,1
我觉得学到很多东西,1
非常适合快速更新知识，特别是前沿的。,1
1111111,1
灰常好，直观解释大学课程，当然也希望添加一两章关于研究进展，研究技术的介绍,1
老师真的很棒，感谢这些老师以及课程的组织者的付出！,1
朱老师说，林奈是一位非常有意思的科学家，那我想说，您是一位更加有意思的科学家，您让我体验到了生物中的乐趣！,1
提及了一些未知的概念，启发探索的欲望,1
各位男神齐出镜，简直赚到了,1
课程内容丰富，学到了许多生物学知识。很好，谢谢老师们！,1
因朱老师慕名而来，因各位老师满载而归,1
非常好！！！！,1
学到了很多,1
很好，很好，非常好,1
课程很实用，从基础的家庭网越变越深，每次学习都能收获不同的体会。,1
这个课程很好，强烈推荐,1
很棒太优秀了,1
233333333333,1
对我有很大的帮助,1
让我知道了不少计算机知识,1
真的很棒哦,1
还行的可以,1
............,1
很实用哦！,1
"还行，好就好在他真麻烦
",1
通过这门课程学到很多计算机网络知识，感觉为我们生活提供了很大的便利，老师讲的这些知识在生活中很实用，受益匪浅。,1
快活，真的快活,1
henhao,1
内容太过基础,1
very good,1
很全面，很有用,1
对于初学AI，这课程不错,1
通过课程，可以了解人工智能的最新研究成果的实际应用领域，以及将来的技术挑战，值得推荐。,1
拓宽了自己的视野，角度比较全面,1
内容新颖，有促进作用,1
课程很棒，老师讲的很细致。赞！,1
课程很不错,1
课程非常好,1
收获很大，老师辛苦啦^,1
让我懂了好多人工智能方面的知识，开拓了自己的思维想法,1
老师能结合实际工作经验来讲，对我们有很大的借鉴意义，能够很客观的理解AI应用的真实情况！,1
挺好的非常有帮助,1
学习了这门课程，我对人工智能有了更深的了解，对人工智能的发展和应用有了全面的认识,1
课程挺好的，就是老师讲课声音太小,1
可以提高学习兴趣,1
很好受益无穷,1
我爱上ai了,1
对于一个我这样一个初学者来说 ，好晦涩,1
是一门AI 入门型课程，没有深奥的理论，很好的引起学生对AI各种应用的感性认知，推荐小白通过这门课来体验AI的神秘面纱,1
棒！强烈推荐,1
很好的课程,1
可以可以可以,1
没啥说的，广告吧,0
AR任重道远,1
"对于ARCore讲解的非常清楚，很吸引人
",1
helpful and practical !,1
课程设计的内容还是很棒的，可以学习到一些基本的知识理念，不过可惜的是国内用不了那些工具。,1
很好，有所启发，谢谢,1
"第一次听纯英文的课，讲得很好，让我对AR有了很多了解，希望继续学下去~
",1
very good,1
不咋地啊。,0
全程外语，节奏有点快。,1
课程后期还更新吗,1
谢谢谢谢谢谢,1
让我从小白直观的认识了什么是AR,1
这个计算机网络基础让我觉得受益良多 我学习到了以前都没有学习到的东西 让我感受颇大,1
我觉得慕课使我快乐,1
好，用的还不错。,1
很好的学习平台,1
学习的非常有效果，但是家里的网太差，老师讲课非常棒，我学到了很多。,1
很有帮助，学到了课上没学过的,1
"教学内容都很棒
",1
使我了解了关于计算机网络的知识。,1
"不错......

",1
     1111111,1
非常满意，支持继续努力！,1
奈斯奈斯奈斯,1
......,1
学到一些常用的小知识，很棒,1
"      uk, hdjug",1
真好真好真好真好真好真好真好真好真好真好真好,1
"nice good
",1
好校优秀你是金钱万能,1
                 666666,1
课程组织的不错，学习本课程有利于了解人工智能产业的应用。有收获。,1
内容安排合理，课程内容丰富，受益匪浅,1
很不错的课程,1
能够接触人工智能的产业前沿，对以后的工作很有帮助,1
"内容还不错，只不过不知道系不系统，感觉还可以，能学到一些东西
",1
突然间想学习一下AI，感觉本课程是科普性质重一些！才学了几课，不一定准确哦！,1
课程挺不错，可以了解一下人工智能在各行业的应用,1
"课程的内容组织很有专业性，问题讲的很透彻，
建议每节课的时长适当的加长些",1
通俗易懂！声音有点小，听不清楚，希望后续课程提高音量控制。,1
"课程很好 浅显易懂
",1
老师讲解的范围广泛 通俗易懂 很适合拓宽视野和初步了解人工智能的具体情况,1
"老师讲课水平非常的高，整体框架明确，使人恍然大悟。
",1
课程非常贴近现实，能够与时俱进，在AI有了比较全面的了解,1
"听起来感觉有收获，深入浅出的。
感觉这种很高级的东西也能和自己有关，土土的人也沾点儿洋气。
期待后面的内容还能这么深入浅出的。
大部分题目出得难易适当，除了附加题有点儿抽象。
总体上，值得持续关注。",1
好好好好好好,1
角度蛮不错的,1
自己暂时为了完成任务，会看ppt《cmu,1
纸质证书在哪申请啊,1
跪求老师开放证书申请,1
我对于人工智能在商业零售、城市交通、AI芯片、人机交互以及金融量化、语音识别等领域最前沿的应用成果等方面有了更深入的了解，感谢老师们的辛苦付出。,1
架构清晰 有干货不罗嗦 好评,1
官方出品必属精品,1
理论知识讲的还蛮清楚，以前对数字营销的手段都是割裂开来看的，现在会当做是品牌曝光到产品售卖出去一个全链路都需要做的功课。,1
超预期 值得多看几遍,1
课程结构化、实践性强，非常感谢谷歌带来这个系列。,1
简单易懂，结构清晰，只是若想考试及格还需要认真学习，做笔记查资料等，可以说学过这门课程后收获很大！,1
感觉和目前的工作有很多相似的地方，但感受到了不同，和大学的时候学的search engine optimization相比有了更广泛的拓展~,1
比较基础的入门课程，学起来不会很吃力,1
这个真的是很棒哎,1
听课方式非常方便便捷，课程内容也干货满满，要反复听几次。,1
确实挺好的，快速的建立起对谷歌广告架构的基本认识。期待有更高阶的课程,1
非常棒的课程，框架清晰明了，还会通过例子加深理解，很棒,1
我是做服务型外贸的，一直都不知道该怎么推广自己的公司，相信学习完这个课程会对今后的推广工作有很多大的帮助,1
十分受益，清晰明了，更有丰富生动的例子去理解广告产品和解决方案，超赞！！！,1
简单易懂，能够帮助初学者快速掌握各个环节要点。,1
收本次学习益良多，还能在以后的招聘中加分，非常棒,1
有新意，有趣味,1
很好，能学到许多，也能激励人继续学下去,1
架构清晰，简单易懂，对零基础的人来说太友好了，希望多出这样类似的课程,1
"11111111111111
",1
好。。。。。,1
6666666,1
"  okokokokok
",1
???????,0
课程可以的,1
有趣的教学方式,1
很好....,1
我觉得这门课程非常的好，非常的ok,1
"学到了很多
",1
牛！！！！！！！！！！！,1
好好好好好好好好,1
.......,0
"非常好
非常好
",1
非常好，学到了很多计算机知识,1
好到我只能给一星,0
现学现用，后来远程计算机无响应了。谢谢！,1
"666nb
",1
我觉得视频太好了，我真的学的好多,1
的点点滴滴多多多多多多多多多多多多多多多多多多,1
"偶尔听不清老师的发音，其他都还好


",1
目前感觉非常棒，各类学科课程都有。,1
非常好 很棒,1
 这门课程太棒了,1
。。。。。。。,1
。。。。。,1
内容极差.,0
内容通俗易懂，很好,1
"好好好好好
",1
老师很好，课程很棒！,1
对今后的工作有很大帮助,1
"一般的操作
",0
了解了先进的人工智能技术，收获很多，喜欢这个课程,1
课程非常好,1
本课程让我深入了解到未来人工智能对生活全方位的影响,1
很好的内容,1
受益匪浅 精彩绝伦,1
“人工智能”包含的东西很多，涉及范围很广，学习研究起来很难做到深入或广博！,1
非常好，受益匪浅,1
