comment,sentiment,,
鏀惰幏寰堝ぇ锛岄潪甯稿疄鐢ㄣ€?,1,,
鍗曠函蹇垫枃妗ｅお鐢熺‖锛屾暀瀛﹁璁℃枃妗ｅお澶氭湭绐佸嚭閲嶇偣锛屽鏋滄槸閽堝鍏ラ棬鑰咃紝杩囧鐨勬湁浜夎鐨勬渚嬭瀹氬疄渚嬪鍩虹鍐呭瀛︿範鐨勫共鎵板お澶э紝鍙﹀锛岀嚎涓嬭璁鸿绋嬪拰琛屼笟浜哄＋璁块棶鍒濊》闈炲父濂斤紝浣嗗綍闊虫晥鏋滆川閲忓お宸紝鏍规湰鍚笉娓呭綋浜嬩汉鍦ㄨ浠€涔堬紝瀵硅繖閮ㄥ垎鍐呭闈炲父澶辨湜,0,,
鏁欏笀璧勬簮浼樿壇锛屽涔犳皼鍥存祿閮侊紝鑺傚寰堝ソ,1,,
鍖栧锛屾湁鎵嬪氨琛?1,,,
澶樊浜嗭紝浣滀笟璁剧疆涓嶅悎鐞嗭紝鑰冭瘯鏃堕棿涓嶉€氱煡,0,,
鍒疯涔嬪悗娌℃湁杩涘害锛宐ug澶,0,,
鏋佸叾宸姴锛屽樊,0,,
杩欎釜璇惧疄鍦ㄦ槸澶ソ浜?1,,,
鑰佸笀鍜屽鐢熸病鏈夌洿鎺ョ殑浜掑姩锛屽簲璇ュ缓涓€涓兢鎴栬€呰璁虹粍锛屽彲浠ヤ氦娴?0,,,
鍙楃泭鍖祬锛屽紩棰嗗墠琛?1,,,
璁茬殑濂芥ā绯?,0,,
瀛︿互鑷寸敤锛屽彈鐩婃棤绌?0,,,
鐪熷疄瑙傜湅璇句欢鏁扮洰閮芥棤娉曟竻妤氥€?0,,,
鑰佸笀鐨勮鐩稿缁嗚嚧锛屽湪鍩虹閮ㄥ垎鐨勮瑙ｄ篃姣旇緝鍏ㄩ潰锛屼笉杩囧缓璁湪璇惧悗寰€鏇存繁鍏ョ殑鏂瑰悜鎺㈡眰涓€涓嬶紝鍘诲紩鍙戝鐢熺殑鎬濊€冿紝涓嶉渶瑕佸己姹傚鐢熷洖绛旓紝鐐瑰埌灏卞ソ銆?1,,,
鍨冨溇锛屾病鏈夎壇蹇冪殑杞欢,0,,
鑷繁鑴戝瓙閲屽涓€涓摬瀛︿綋绯绘€绘槸濂戒簨,1,,
1111111鍛冨憙鍛冨憙鍛冨憙,0,,
鑰佸笀鑳戒笉鑳戒妇涓緥瀛愶紝涓嶇収鐫€绋垮瓙璇?0,,,
浜哄鐨勬椂鍊欙紝澶崱浜嗭紝寰堝奖鍝嶅績鎯?0,,,
鏈夋劅鎮燂紝鏈夋彁楂樸€?1,,,
浼犺涓殑PPT鑰佸笀鈫抇鈫?0,,,
杩欓棬璇剧湡鐨勭函鎰忔帆锛?鍒?0,,,
瓒呭嚭棰勬湡鐨勬敹鑾?1,,,
鑰佸笀鎺堣鐗瑰埆璁ょ湡浠旂粏銆?1,,,
娴嬮獙鍜屼綔涓氶噷闈㈠ソ澶氶鍑洪敊閲岋紝璇句欢褰曢煶锛岃浠禤PT鍒版椂鎸哄ソ鐨勶紝浣嗘槸浣滀笟鍜屾祴楠岄噷闈㈡湁涓€浜涢棶棰橈紝闂澶勫湪浜庡嚭棰樻柟闈紝瑕佷箞鍑洪敊棰橈紝瑕佷箞缁欑殑鍥涚绛旀鍒版椂瀵逛笉涓婏紝甯屾湜涓嬫褰曡浠惰鐪熶竴鐐?0,,,
濂藉惂锛屾湁鐐规棤鑱?0,,,
璇剧▼鐣ユ樉鏋嚗,0,,
寰堝ソ锛岄潪甯镐究浜庡涔?1,,,
閫氳繃瀛︿範璁╂垜瀵规暀甯堣亴涓氶亾寰峰姞娣变簡浜嗚В锛岄€氳繃浜嗚В鐭ラ亾浜嗚嚜宸辩殑涓嶈冻銆?1,,,
杩欎釜璇剧▼闈炲父鏈夎叮锛屾妸鍙ゅ笇鑵婄璇濇晠浜嬪拰澶╂枃鐭ヨ瘑鏈夋満缁撳悎鍦ㄤ竴璧凤紝浜庢暀涓庤叮銆?1,,,
鎴戣寰楀緢濂界殑锛岃€佸笀鎬昏兘鍙婃椂缁欐垜浠В绛旈棶棰橈紝杈涜嫤鑰佸笀浠簡锛侊紒,1,,
寤鸿鏀硅鍗栧湴鐡?..涓嶏紝鎶辨瓑锛屽氨鎮ㄤ滑閭ｈ璇炬硶锛屽幓鍗栧湴鐡滄槸瀵瑰湴鐡滅殑渚颈銆傛垜鐪嬩簡Stanford Database Intro鎯宠繃鏉ョ湅鐐瑰疄鎿嶏紝鐪嬪緱鎴戞兂鍚愩€?0,,,
濂藉ソ濂藉ソ濂藉搱,1,,
鑰佸笀灏卞彧鏄湪蹇祊pt閮芥病鏈夎瑙?0,,,
鍏ㄥ嫟 鏈熸湯鑰?0澶?缁撴灉缁欐垜鎸備簡缁煎悎40澶氬垎 灏卞洜涓烘垜娌＄粰鑰佸笀鎷変汉 鑰佸笀鐪熸妫?0,,,
瀵撴暀浜庝箰锛岀洿瑙傛槗鎳傘€?1,,,
寰堝ソ鐨勫涔犲钩鍙?,1,,
濂藉ソ濂藉ソ濂藉搱,1,,
娴嬭瘯棰樻彁浜ゆ椂闂存病鏈夋彁閱?0,,,
鏃ヤ簡鐙椾簡鐪嬪畬涓€涓棰戠劧鍚庢兂鍦ㄧ湅鐩存帴璺充笅涓€涓棰戞€庝箞鎼為兘鐪嬩笉浜嗕笂涓€涓棰?0,,,
鑰佸笀寰堝崥瀛︼紝璁茶涔熻繛璐敓鍔?1,,,
鐤儏褰撳墠锛屽皯璧板姩锛屽嫟娲楁墜锛屽嚭闂ㄦ埓鍙ｇ僵,1,,
瀛︿細鎸夋帓鐢熸椿,1,,
姣涙鐨勭郴鍒楄绋嬪彲璋撴槸甯︽垜鎵撳紑浜嗗叏鏂扮殑涓栫晫锛岄珮涓笁骞寸殑鍘嗗彶瀛︾郴涓庤繖娆¤绋嬬浉杈呯浉鎴愶紝涓€娆℃璇剧▼甯︽垜涓嶆柇棰嗙暐鐧惧勾鍓嶇殑宀佹湀锛屽巻鍙茬殑杞﹁疆婊氭粴鍚戝墠锛屾垜浠簲璇ヤ粠鍘嗗彶涓涔狅紝浠庤€屾媴璐熸椂浠ｉ噸浠伙紝鎸叴涓崕銆?1,,,
"濂藉ソ濂藉ソ濂?
",1,,
璇剧▼闈炲父鐨勫ソ,1,,
璇捐鐨勫緢濂斤紝浣嗘槸鐪嬭繃涓€閬嶏紝鎰熻鍜屾病鐪嬬殑涓€鏍枫€傝繕鏄湡鐨勮€佸笀涓婅濂姐€?0,,,
鍜屾垜鎯崇殑瀹屽叏涓嶄竴鏍?,0,,
瀛︿範鎸哄ソ鐨勶紝娑ㄧ煡璇嗕簡,1,,
寰堝彈鐢紝鍐嶅涓€鐐规渚嬪氨鏇村ソ浜?,0,,
璇ヨ缁嗙殑涓嶈缁?0,,,
涓嬭浇鐨勫唴瀹逛箞鏄庡濡欑殑娌′簡锛屼笅杞界殑鏃堕棿涓嶉暱銆?0,,,
蹇呴』缁欎釜6?濂借瘎 璁╂垜璁よ瘑浜嗙孩姗欓粍缁块潚钃濈传,0,,
浜嗚В鍒颁腑鍥界殑鍙戝睍,1,,
鍏抽偅涔堝揩   杩炵壒涔堝浘涓嶇粰鎴?  鐪嬩竴瀛︽湡鐧界湅浜嗕釜灞佷簡,0,,
鏈绋嬭鎴戠殑鐭ヨ瘑杩涗竴姝?1,,,
缃戠珯澶崱锛屾湁鐨勬椂鍊欏惉瀹屼笉鏄剧ず宸插惉,0,,
杩欐槸鎴戝涔犲祵鍏ュ紡缁欑殑璇勪环鏈€浣庣殑涓€娆°€傚畬鍏ㄧ収ppt蹇碉紝鐪熺殑娌℃湁鑷繁鐞嗚В鐨勬€濇兂銆?0,,,
璇剧▼璁剧疆寰堝ソ,0,,
寰堜笉閿欙紝寰堝枩娆€?1,,,
寰堟锛岃€佸笀璁茶閫昏緫娓呮櫚,1,,
鑰佸笀鏁欐巿鐨勬柟娉曞崄鍒嗗疄鐢紝鍙楃泭鍖祬銆?,1,,
濂介毦鍟婏紝蹇欐椿涓€澶╀簡锛屾祴璇曞緱4鍒?0,,,
鏈绋嬫繁鍏ユ祬鍑猴紝鏁堟灉闈炲父濂斤紝璁╂垜鎳傚緱浜嗗熀纭€鐨勭數璺鐞嗘柟娉曘€?1,,,
鑰佸笀涓婅璁茬殑闈炲父濂斤紝鍙楃泭鑹銆?1,,,
"鎸哄ソ鐨勶紝鎶婅鍫備笉鍐嶅眬闄愪簬绾夸笅
",1,,
鎰熻姣旇緝鏈夋潯鐞嗭紝娣卞叆娴呭嚭鍦拌娓呬簡寰堝闂銆?1,,,
璇剧▼鍐呭璇﹀疄锛屽€煎緱瀛︿範銆?1,,,
涓€鏄熷ソ璇勶紝dddd,0,,
寮烘帹璇撅紝瀵规垜鐨勫涔犲府鍔╁緢澶?1,,,
寤鸿灏濊瘯鐢ㄦ柊鐨勫舰寮忥紝澧炲姞鑳屾櫙闊充箰鎴栧叾浠栥€?0,,,
鍙堜贡鍙堝銆傘€傘€傘€傘€傘€傛祴楠岄鐩張澶氬張闅撅紝锛岃繖鏄€変慨鍚?0,,,
灞炲疄鏄彍鍟婏紝瀛︽牎杩樺鍔犺锛岀墰閫肩墰閫?0,,,
甯屾湜鑳芥妸浣滀笟鎻愪氦鏃堕棿寤跺悗锛屼箣鍓嶈€佸笀璇村钩鍙拌缃殑涓嶈兘鏀癸紝鍙槸鍏朵粬鍚屽淇厱璇剧殑鏃跺€欎綔涓氭彁浜ょ殑鏃跺€欏氨缁欏欢鍚庝簡涓や釜鏈?0,,,
瀛︿簡杩欎箞涔咃紝寰堟湁鏀惰幏銆?0,,,
璇剧▼鏂伴锛屾敹璐ч涓?1,,,
寰堟湡寰呮灄鑰佸笀鐨勮锛屽緢瀹炵敤锛侊紒,1,,
瀹屽叏鍦ㄧ収鐫€ppt蹇碉紝鍙兘杩欎釜鑰佸笀瀛︽湳姘村钩寰堥珮浣嗘垜瑙夊緱濂逛笉閫傚悎涓婄綉璇撅紝鍚簡浠ュ悗瀹屽叏娌¤兘褰㈡垚姒傚康,0,,
璁茬殑鍐呭澶皯,0,,
涓轰粈涔堢湅瀹屽悗棰樹篃鍋氬畬鍙樉绀哄畬鎴愪簡3/5鐨勮鏃?0,,,
鍙傚姞鎺堣鐨勯兘鏄竴绾挎暀甯堬紝鎵€鏈夌殑缁忛獙鍜屾渚嬮兘鏉ヨ嚜浜庢暀瀛﹀疄闄咃紝鏈夊緢寮虹殑鎸囧鎬с€傚彈鐩婂尓娴呫€?1,,,
姒傚康璁茶В涓嶆竻鏅帮紝妗堜緥涓嶅澶氥€?0,,,
"娌℃湁娴嬭瘯鎻愰啋
",0,,
鍙笉鍙互灏戝垏鎹㈣€佸笀鐨勯暅澶达紝灏藉彲鑳藉鐨勬斁ppt鐨勫唴瀹癸紝鑰佸笀鍙堜笉鏉夸功锛岃鏄澘涔︾殑璇濇斁鑰佸笀灏辩畻浜嗭紝鎬绘槸鏀捐€佸笀锛屼笉鏀緋pt鎬庝箞缁撳悎ppt鐞嗚В鑰佸笀鐨勮瘽鍛?0,,,
妗嗘灦鏈夌偣缂哄け,0,,
鑰佸笀璁蹭笉鍒伴噸鐐?0,,,
瀛︿範寰堟湁绉瀬鎬?,1,,
杩樺彲浠ワ紝浜嗚В浜嗗緢澶氫互鍓嶄笉鐭ラ亾鐨勪笢瑗?1,,,
姣旇緝褰㈠紡涓讳箟鍚э紝涓嶆帹宕?0,,,
涓哄暐鏄浂鐐规埅姝紝鎴戝崐澶?1鐐瑰鍋氫綔涓氾紝鍒氬啓瀹屽憡璇夋垜涓嶈兘浜や簡锛岃繖鏈夌偣涓嶅お鍚堢悊鍚? ,0,,
楹荤儲 寰堥夯鐑?0,,,
鍙槸鍗曠函鐨勫康PPT涓婄煡璇嗙偣鐨勫唴瀹癸紝鍚鏁堟灉鍜岃嚜瀛﹁鏈浉宸棤鍑?0,,,
寰堝ソ寰堟寰堟湁鐢?,1,,
涓轰粈涔堜笅杞戒笉浜?0,,,
璇剧▼鍐呭姣旇緝鍏呭疄锛屽悇鏂归潰閮戒細娑夊強鍒帮紝鍚屾椂鍛紝璺熶箣鍓嶈€佸笀璁茶鐨勫垏鍏ョ偣涓嶄竴鏍凤紝浼氳涓€浜涚敓娲讳腑绫绘瘮鐨勪緥瀛愶紝鑳藉鏇村ソ鍦扮悊瑙ｏ紝寰堟柊棰栥€傚彟澶栬€佸笀璁茶鏂瑰紡鎸哄ソ鐜╃殑锛屽弽姝ｆ垜鍚潃鎸烘湁鎰忔€濈殑锛屾垜浼氫竴鐩磋窡鐫€瀛︿笅鍘伙紝鍝堝搱锛岃阿璋㈢帇鑰佸笀,1,,
涓夋槦鍦ㄥ浗鍐呭競鍦哄崰鏈夊凡缁忔拨涓哄叾瀹冧簡銆傜幇鍦ㄥ紑鍙戦兘鏄敤鐨刟ndroid studio銆傝繖涓绋嬬殑鍐呭宸茬粡瀹屽叏涓庣幇鍦ㄨ劚鑺傘€備笉鑳戒笌鏃惰繘淇辫繘锛屽浗瀹剁簿鍝佽繖涓附瀛愶紝鎴戠湅浣犵幇鍦ㄥ彲浠ヨ劚涓嬫潵浜嗐€?0,,,
澶т紬鍒涗笟锛屼竾浼楀垱鏂?1,,,
"鑰佸笀鍚愬瓧涓嶆竻锛屽ソ澶氬瓧璇婚煶涓嶆纭紝杈瑰惉璇捐竟鍋氱瑪璁板ソ澶氶兘瀛楀惉涓嶆噦
鎯宠瘎浠?鏄燂紝鍙槸娌℃湁杩欎釜閫夐」锛屽媺寮轰竴鏄?,0
娌″澶х敤澶勶紝杩樻氮璐规椂闂磋窡绮惧姏锛岄兘鏄悶褰㈠紡鐨?0
闈炲父濂界殑璇剧▼锛岀粨鏋勬鏋跺眰灞傞€掕繘锛屾€濊矾娓呮櫚銆?1
鍐呭涓板瘜锛屽垎浜殑涓€浜涜蒋浠堕兘寰堝ソ鐢紝鑺傜渷浜嗗緢澶氭壘璧勬簮鐨勬椂闂淬€?1
璇剧▼瀛︿範杩囩▼涓細鏈夐瑕佸仛锛屽彲浠ュ姞娣辨垜浠殑鍗拌薄銆傝€佸笀璁茬殑涔熼潪甯稿ソ锛岄潪甯哥粏鑷达紝闈炲父璁ょ湡銆?1
甯屾湜浣滀笟鎻愪氦鍓嶄袱澶╁彲浠ョ粰鎻愮ず,0
寰堝ソ锛岃€佸笀骞介粯椋庤叮锛屾暀瀛﹀唴瀹逛赴瀵岋紝澶╂枃瀛﹀緢鏈夋剰鎬濄€?1
涓轰粈涔堣绋嬪叏閮ㄧ湅瀹屼箣鍚庤繘搴︽潯涓嶆洿鏂帮紵,0
褰€佸笀璁茬殑鐪熷ソ锛屾垜瑙佽繃鐨勬墍鏈夎€佸笀閲?1
涓夎鍑芥暟璁茬殑鍚笉鎳?0
璇寸殑涓嶉敊锛屼絾鏄叏鏄嫳鏂囥€?0
瀛︽湁鏀惰幏锛岃鐨勫緢濂斤紒,0
浠€涔堢帺鎰?浠€涔堟椂鍊欏紑璇惧氨涓嶈兘璇存竻妤?2021.1.11寮€璇?.19灏辨湡鏈€冭瘯?,0
鑰佸笀璁茶В寰堣缁嗭紝骞朵笖绌挎彃浜嗗緢澶氬悓瀛﹀闂鐨勬繁鍏ヨ璁恒€傜壒鍒銆傚敮涓€鐨勫缓璁細甯屾湜鍙互澶氭彁渚涗竴浜涙枃妗ｈ祫鏂欙紝鏂逛究闃呰銆傚彲浠ュ弬鑰?娴欐睙宸ュ晢澶у 鐨?鎶曡祫涓庣悊璐?璇剧▼涓殑璧勬枡鏂归潰銆傚叾浠栨柟闈㈤兘寰堝畬缇庛€?1
寰堜笉閿欙紝瀛﹀埌浜嗗緢澶氬疄鐢ㄧ殑鍏充簬蹇楁効鑰呯殑鐭ヨ瘑,1
瀵勭敓铏湡鏄秺瀛﹁秺涓婂ご,1
浜ㄥ彈璇剧▼甯︽潵鐨勭煡璇?""",1,,
鍙互涓嶇敤鐪嬩簡锛屾瘮杈冪敓纭殑璇剧▼,0,,
璇剧▼鍐呭涓板瘜绮剧偧锛岄€傚悎瀵规鎰熷叴瓒ｇ殑浜哄涔狅紝,1,,
閮戒笉浼氭彁閱掕€冭瘯锛?0,,,
闈炲父濂斤紝鍐呭鍏ㄩ潰锛屼笌鏃朵勘杩?1,,,
鍙楃泭鍖祬锛岃阿璋㈣€佸笀鐨勭簿褰╄瑙?1,,,
韬綋鏄潻鍛界殑鏈挶锛屽彧鏈夊吇濂借韩浣擄紝鎵嶈兘鏇村ソ鍦颁负浜烘皯鏈嶅姟銆?1,,,
璇剧▼鍐呭缁勭粐涓婂啀澶氫竴鐐圭數褰辫棰戝氨濂戒簡,1,,
1鏄熷ソ璇勫垎鏈熶粯娆撅紝棰樼洰鏍规湰涓嶉€傚悎鏀惧湪缃戦〉涓婂仛,0,,
"鐪熺殑寰堜笉閿欏憿
",1,,
寰堝ソ锛屾劅瑙夌煡璇嗕赴瀵屽緢澶?1,,,
鑰佸笀璁插緱寰堟竻鏅?鍙楃泭鑹,1,,
鏍规湰娌℃湁鎴村缓涓氳€佸笀,0,,
濂斤紝寰堟湁绮剧锛屽緢妫?1,,,
杞欢鏈夋瘨锛屾墦涓嶅紑璇剧▼锛屼竴鐩村湪閭ｉ噷杞晩杞晩杞晩杞?0,,,
璇剧▼寰堜笉閿欙紝璐村悎瀹為檯,1,,
鍒疯繃涔嬪悗锛屼负浠€涔堣鏃惰繕娌℃湁鍙橈紵,0,,
璇惧爞涓婃墍鏈夌殑浜嬫儏鑰佸笀鍏ㄥ寘浜嗭紝鍩烘湰涓婃病鏈夌粰瀛︾敓鎬濊€冪殑鏃堕棿锛岃繖鏍风殑璇句篃鎷垮嚭鏉ヨ璁╂垜浠涔狅紝澶浜哄け鏈涗簡銆傛垜瀵规厱璇剧殑缁勭粐鑰呬骇鐢熸€€鐤戯紝绯婂紕浜虹被鍚с€備綔鍥炬椂鍦嗚閮戒笉鐢紝澶殢鎰忎簡鍚э紵,0,,
鍝庯紝鍝庯紝鍝庯紝鍝庯紝鍝庯紝,0,,
鑰佸笀璁茶В鐨勫緢娓呮櫚锛岃绋嬪唴瀹圭紪鎺掍篃寰堝悎鐞嗐€?1,,,
璁よ瘑鑷繁锛屾洿濂界殑鐢熸椿,1,,
璇剧▼寰堝ソ锛岃€佸笀璁茬殑寰堢敤蹇冿紝寰堟湁鏀惰幏,1,,
鑰佸笀璇磋瘽涓嶆竻鏅?0,,,
浜哄姏璧勬簮鍏ラ棬璇剧▼锛屼富瑕佹槸鐜板湪宸ヤ綔鍦ㄥ仛浜哄姏璧勬簮锛屼細鏈変簺甯姪,1,,
鍙楃泭寰堝 瀛﹀埌寰堝,0,,
鐪嬬潃杩樻槸涓嶉敊鐨勶紝甯屾湜鑰佸笀璁插緱濂斤紒,1,,
浼犺涓殑PPT鑰佸笀锛屽０闊冲法灏忓彛闊崇壒閲?0,,,
鍥剧墖鍐呭涓嶆竻鏅?0,,,
鏃爌pt鏃爌pt,0,,
鏁欏绁炵敓鍔ㄦ湁瓒ｏ紝鑰佸笀涔熷緢濂?1,,,
鎴戣寰楄€佸笀璁茬殑澶笉璇︾粏浜?0,,,
鍏奸【鐞嗚涓庡疄璺碉紝鍙楃泭鍖祬,1,,
婀栧崡澶у鍩瑰吇杩欎箞澶氬璇绘満鏄仛浠€涔堬紵,0,,
鍙互涓€娉㈠瀹屻€?1,,,
寰堜笉閿欙紝鎯宠瀛︽棩璇殑鍚屽鍙互璇曡瘯銆?1,,,
鑰佸笀璁茶娌″緱鐏甸瓊,0,,
杞欢鏈夊緟鎻愬崌,0,,
濂藉ソ濂借繕鍝﹁繕鍝?1,,,
鑰佸笀鍜屽鐢熼兘寰堝拰钄?1,,,
"璁茶В涓嶇粏鑷? 灏卞彧鏄 PPT, 鑰?PPT 鍙槸瀵规暀鏉愮煡璇嗙偣鐨勪竴涓惉杩? 娌℃湁棰勬湡鐨勬敹鑾? ",0,,
杩樿锛屾湁寰呮敼杩?0,,,
鎬濇兂閬撳痉淇吇涓庢硶寰嬪熀纭€杩欓棬璇剧▼鏁欎細浜嗘垜璁稿锛屽府鍔╂垜浠爲绔嬫纭殑浜虹敓瑙傘€佷环鍊艰銆佷笘鐣岃銆佷护浜哄彈鐩婂尓娴呫€?1,,,
閫氳繃瀛︿範锛屽厖鍒嗕簡瑙ｆ柊鍐犵梾姣掕偤鐐庣殑闃叉姢锛屽紑瀛﹀悗鏇存湁搴曚簡,1,,
鏈€鍚庝竴棰樿€佹槸鍐欎笉涓婄瓟妗?0,,,
鑰佸笀璁茬殑寰堜粩缁嗭紝鏀惰幏棰囦赴銆?1,,,
涓嶆槸涓€鑸殑鍗?0,,,
鍐呭璇﹀疄锛岃瑙ｈ缁嗭紒,1,,
鐗瑰埆濂? 鐗瑰埆妫?1,,,
澶浜?鐪熺殑澶浜?,1,,
妫掓瀬浜嗗憖锛?,1,,
濡傛灉鏄収鐫€蹇碉紝鎴戜篃浼?.,0,,
鑰佸笀鎬绘槸鍦ㄥ康ppt,0,,
瀹嬭€佸笀杩欓棬銆婃湡璐т笌鏈熸潈銆嬭绋嬫槸涓€闂ㄧ簿鍝佽绋嬶紝鍜屽叾浠栨厱璇句笉涓€鏍风殑鏄紝杩欓棬璇剧▼鍒朵綔鏄湪2016璺熼殢涓储瀛︾敓鐨勮鍫傚悓姝ュ綍鍒剁殑銆傛湁娣卞害锛岃姹傞珮锛屾瘡涓€涓皬鑺傚拰鍗曞厓閮芥槸绮惧崕銆傚畫鑰佸笀鏈汉姘村钩涔熷緢楂橈紝鎴戦潪甯哥尽鎱曚腑璐㈠瀛愩€?1,,,
璇剧▼闈炲父鐢熷姩鏈夎叮锛岃緝涓烘槗鎳傦紝鏀惰幏鑹銆?1,,,
鎴戝彲浠ユ瘮浠栧康PPT蹇靛緱鏇村姞鐢熷姩锛屽瘜鏈夋劅鎯?0,,,
鍙楃泭鏃犵┓ 鎰熻阿,1,,
鍏ㄩ儴璇剧▼缁撴潫涔熸病鏈夎€佸笀绛旂枒锛屽鏋滀笉绛旂枒閭ｅ紑璁捐繖闂ㄨ绋嬫槸娌℃湁鎰忎箟鐨勶紝杩欐槸澶т紬杩滅▼瑙嗛鏁欏锛屾病鏈夎璁虹瓟鐤戠幆鑺傦紝閭ｈ绋嬩篃灏辨槸鍙暀娌℃湁瀛︾殑杩囩▼浜嗐€?0,,,
鍐呭鎸轰赴瀵岀殑锛屼絾鏄€佸笀鐨勭敤璇嶅お杩囦簬绠€鍗曞鈥渧ery very鈥濅笉鑳界敓鍔ㄥ湴浣撶幇鎵€琛ㄨ揪鐨勬剰澧冿紝璁茶В鏃剁敤鐨勫彞寮忕暐甯︽湁涓紡鎬濈淮锛屽鈥渢he number 3 point鈥濓紝璇剧▼璁茶В搴旇閬垮厤杩囧鐨勨€渉ow to say鈥濊繖绉嶆彃鍏ヨ銆傝€佸笀鐨勫彂闊冲亸缇庡紡銆傚浜庨珮姘村钩鑻辫瀛︿範鑰呯殑璇濓紝涓嶅お寤鸿鍚€傝€佸笀鐨勭粡楠屾槸寰堜赴瀵岀殑锛屼妇寰椾緥瀛愪篃寰堝姪浜庣悊瑙ｏ紝浣嗘垜涓汉鍙粠璇█鏂归潰鏉ヨ瘎浠凤紝浠呬緵鍙傝€?0,,,
鎴戞帉鎻″埌浜嗗熀鏈殑鍋氫汉閬撶悊锛岃幏鐩婇澶?,1,,
鍌婚€硷紝璋佺湅璋佸偦閫?0,,,
鏄湡鐨勮洰濂界殑,1,,
璇剧▼鍐呭鍏呭疄锛屽涔犱綋楠屽緢妫?1,,,
鍜屽唸钀ㄩ浄鏂殑涔︽病浠€涔堝叧鑱旓紝璁茬殑鍍忛棬姒傝堪璇?0,,,
涓嶆洿鏂板唴瀹瑰紑nm璇惧憿,0,,
瓒呯骇鍙楃泭锛岃璇剧粯澹扮粯鑹?1,,,
寰堝ソ锛岄潪甯稿疄鐢?1,,,
浠ュ墠浠庢潵娌″叧娉ㄨ繃鑷繁鐨勫棑闊筹紝涔熸病娉ㄦ剰淇濇姢鑷繁鐨勫棑瀛愩€備笂杩欓棬璇剧殑杩囩▼涓紝鍥炴兂璧峰嚑浣嶆浘缁忓洜涓虹敳鐘惰吅绛夊師鍥犲幓鍋氭墜鏈殑鑰佸笀锛岃秺鏉ヨ秺鎰忚瘑鍒版湁涓€鍓姩鍚張鍋ュ悍鐨勫棑瀛愶紝瀵逛竴鍚嶆暀甯堟潵璁叉湁澶氶噸瑕併€傛劅璋㈡灄鑰佸笀,1,,
瀵逛粖鍚庣殑鏁欏宸ヤ綔甯︽潵寰堝ぇ鐨勫惎鍙?1,,,
"鍥犱负鏄鏍＄殑瀛︾敓 鎵€浠ユ病鏈夋姳鐫€娣峰鍒嗙殑蹇冩€佹潵瀛?鑰屾槸姝ｇ粡涔颁簡鏁欐潗 鎯冲鐐圭煡璇?鐪嬭鏄簿鍝佽绋嬫墠鐐硅繘鏉ュ涔犵殑 
灏辨槸鍦ㄨ鏁欐潗 娌℃湁鎵╁睍 鏈夎€佸笀鐢氳嚦璇句欢閮芥病鏈夊垏 鐒跺悗鑷【鑷氨璇诲畬涓嬭浜?
鎰熻杩欎釜绮惧搧璇剧▼鏈夌偣姘村钩 
姣曠珶鏄厤璐?杩樻槸鑳界悊瑙ｅ惂 ",0,,
澧炲姞浜嗘柊鐨勮璇嗭紝鍙互鍒╃敤浜掕仈缃戠殑鍔涢噺杩涜鐭ヨ瘑鐨勫偍瀛?1,,,
娴垂鏃堕棿锛屾垜鍚愪簡,0,,
鑲栬€佸笀璁插緱寰堟,1,,
澶崱浜嗭紝鐩存帴鐪嬩笉浜?0,,,
铔ソ鐨勫摝锛屾瘮杈冨厖瀹?1,,,
铏界劧娌夋蹈寮忚嫳璇涔犲緢鈥滅埥鈥濓紝浣嗘垜鎰熻鍜变滑鐨勮绋嬮渶瑕侀€傚綋鐨勫姞涓€浜涗腑鏂囥€?1,,,
銆併€併€侊紝銆傛病寮€闂╧'j'n,0,,
楂橀珮鍏村叴鏉ヤ笂鎴磋€佸笀鐨勮锛岀粨鏋滅偣寮€鎵€鏈夎绋嬮兘涓嶆槸鎴磋€佸笀锛屼负鍟ヨ鐢ㄦ埓鑰佸笀鐨勫悕锛燂紵锛燂紵锛?0,,,
鏈嶅姟鍣ㄥ氨鏄釜鍨冨溇锛屾娲绘彁涓嶄笂鏁版嵁锛岃繕璇存垜鐘硶,0,,
鍏夎PPT鍛€锛屽搱鍝??蠅?)hiahiahia,0,,
"璇剧▼闈炲父濂斤紝鍐呭澶赴瀵屼簡
",1,,
鍙楃泭鍖祬銆傚緢濂界殑涓€娆″涔犵殑鏈轰細锛岃阿璋㈠钩鍙?,1,,
绾夸笂瀛︿範浣撻獙寰堝ソ锛屽涔犳椂闂存瘮杈冨彲鎺э紝瀛︿範褰㈠紡寰堝ソ銆?1,,,
瀹屽叏鐨勫舰寮忎富涔夛紝鎵€鏈変汉閮藉湪姘达紝澶ц嫳瀛︿範澶嶆潅鑰岀箒鐞愶紝鎴戜笉鐭ラ亾杩欎箞鍋氱殑鎰忎箟鏄粈涔堛€?0,,,
棰樼洰鍙兘鐪嬩竴鍗?0,,,
杩欒绛旀鑳芥敼鍠勫悧锛熻窡鎲ㄦ壒涓€鏍凤紝鍚勭绗﹀彿闂灏辫繖锛?0,,,
杩欓棬缃戜笂璇剧▼寮€璁剧殑寰堝ソ锛岃鐨勫緢濂斤紒,0,,
鏁堟灉涓嶅ソ锛屼竴鑸?0,,,
